Profile Profile,Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Second Country Second Country,Height Height,Weight Weight,Birthplace Birthplace,Other Group Other Group,Former Group Former Group,Gender Gender,Position Position,Instagram Instagram,Twitter Twitter
Profile,Yubin,Kim Yubin,???,??,32420,Wonder Girls,South Korea,,163,0,Gwangju,,,F,,,
Profile,Yenny,Park Yeeun,???,??,32654,Wonder Girls,South Korea,,165,0,Goyang,,,F,,hatfelt,
Profile,Sunmi,Lee Sunmi,???,??,33726,Wonder Girls,South Korea,,167,0,Iksan,,,F,,miyayeah,
Profile,Hyerim,Woo Hyerim,???,??,33848,Wonder Girls,South Korea,,167,0,Seoul,,,F,,wg_lim,
,Fei,Wang FeiFei,?????,??,31894,miss A,China,,165,0,Haikou,,,F,,ff0427,
,Jia,Meng Jia,???,??,32542,miss A,China,,166,0,Changja,,,F,,mjbaby0203,
,Min,Lee Minyoung,???,?,33410,miss A,South Korea,,161,0,Seoul,,,F,,therealminnn,
,Suzy,Bae Suji,???,??,34617,miss A,South Korea,,168,0,Gwangju,,,F,,skuukzky,
,Jamie,Park Jimin,???,???,35616,15&,South Korea,,160,0,Junggu,,,F,,jiminxjamie,
,Yerin,Baek Yerin,???,???,35607,15&,South Korea,,165,0,Daejeon,,,F,,yerinb,
Profile,Jihyo,Park Jisoo,???,??,35462,Twice,South Korea,,162,0,Guri,,,F,"Leader, Main Vocal",,
Profile,Nayeon,Im Nayeon,???,??,34964,Twice,South Korea,,163,0,Seoul,,,F,,,
Profile,Jeongyeon,Yoo Jeongyeon,???,??,35370,Twice,South Korea,,168,0,Suwon,,,F,,,
Profile,Momo,Hirai Momo,??? ??,??,35378,Twice,Japan,,167,0,Kyoto,,,F,,,
Profile,Sana,Minatozaki Sana,????? ??,??,35428,Twice,Japan,,168,0,Osaka,,,F,,,
Profile,Mina,Myoui Mina,?? ??,??,35513,Twice,Japan,,163,0,San Antonio,,,F,,,
Profile,Dahyun,Kim Dahyun,???,??,35943,Twice,South Korea,,165,0,Seongnam,,,F,,,
Profile,Chaeyoung,Son Chaeyoung,???,??,36273,Twice,South Korea,,159,0,Seoul,,,F,,,
Profile,Tzuyu,Chou Tzuyu,????,??,36325,Twice,Taiwan,,169,0,Tainan,,,F,,,
Profile,Seunghee,Oh Seunghee,???,??,34982,CLC,South Korea,,163,0,Gwangju,,,F,,,
Profile,Yujin,Choi Yujin,???,??,35289,Kep1er,South Korea,,164,0,Jeonju,,CLC,F,,,
Profile,Seungyeon,Jang Seunyeon,???,??,35375,CLC,South Korea,,163,0,Seongnam,,,F,,,
Profile,Sorn,Chonnasorn Sajakul,??? ???,?,35387,CLC,Thailand,,164,0,Bangkok,,,F,,,
Profile,YeeEun,Jang Yeeun,???,??,36017,CLC,South Korea,,166,0,Dongducheon,,,F,,,
,Hyuna,Moon Hyuna,???,??,31796,,South Korea,,172,50,Yeosu,,9Muses,F,,moongom119,
,Euaerin,Lee Hyemin,???,????,32266,,South Korea,,174,48,Seoul,,9Muses,F,,,
,Sungah,Son Sungah,???,??,32697,9Muses,South Korea,Fiji,172,48,Suma,,,F,,ssungahhbaby,
